jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Martin Hladík||Male|"6'4"" (193 cm)"|198 lbs (90 kg)|1953-08-16|||Czechoslovakia|Rowing|1980 Summer|Men's Coxed Fours|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Hladík||Male|"6'0"" (184 cm)"|172 lbs (78 kg)|1948-03-16|||Czechoslovakia|Cycling|1968 Summer|Men's Road Race, Individual|Czechoslovakia|AC||DNF||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloslav Hlaváč||Male|||1893|||Czechoslovakia|Shooting|1924 Summer|Men's Running Target, Single Shot|Czechoslovakia|17T |||1924 Summer|Men's Running Target, Single Shot, Team|Czechoslovakia|AC||DNF|1924 Summer|Men's Running Target, Double Shot|Czechoslovakia|19|||1924 Summer|Men's Running Target, Double Shot, Team|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Hlídek||Male|"6'0"" (184 cm)"|209 lbs (95 kg)|1962-05-04|||Czechoslovakia|Rowing|1988 Summer|Men's Coxed Fours|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ivan Hlinka||Male|"6'1"" (185 cm)"|216 lbs (98 kg)|1950-01-26|2004-08-16|TJ CHZ Litvinov|Czechoslovakia|Ice Hockey|1972 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze||1976 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vítězslav Hloušek||Male|||1914-10-31|||Czechoslovakia|Basketball|1936 Summer|Men's Basketball|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Hochman||Male|||1904-04-02|1986-03-04|Sparta Praha, Praha (CZE)|Czechoslovakia|Football|1924 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Hoffmann||Male|"6'0"" (183 cm)"|176 lbs (80 kg)|1908-05-24|1983-11-21|Sparta Praha, Praha (CZE)|Czechoslovakia|Athletics|1936 Summer|Men's Long Jump|Czechoslovakia|NP QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Pavel Hofmann||Male|"5'10"" (179 cm)"|179 lbs (81 kg)|1938-01-29|||Czechoslovakia|Rowing|1960 Summer|Men's Coxed Fours|Czechoslovakia|6 h1 r3/4|||1964 Summer|Men's Double Sculls|Czechoslovakia|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Rudolf Höhnl||Male|"5'2"" (158 cm)"|157 lbs (71 kg)|1946-04-21|||Czechoslovakia|Ski Jumping|1968 Winter|Men's Large Hill, Individual|Czechoslovakia|12|||1972 Winter|Men's Normal Hill, Individual|Czechoslovakia|29T |||1976 Winter|Men's Normal Hill, Individual|Czechoslovakia|16T |||1976 Winter|Men's Large Hill, Individual|Czechoslovakia|34||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
