jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Drahomír Koudelka||Male|"6'4"" (193 cm)"|205 lbs (93 kg)|1946-05-26|1992-08-19|Zbrojovka Brno, Brno (CZE)|Czechoslovakia|Volleyball|1968 Summer|Men's Volleyball|Czechoslovakia|3|Bronze||1972 Summer|Men's Volleyball|Czechoslovakia|6|||1976 Summer|Men's Volleyball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Koukal||Male|"6'1"" (186 cm)"|203 lbs (92 kg)|1949-04-11|||Czechoslovakia|Fencing|1972 Summer|Men's Foil, Individual|Czechoslovakia|5 p3 r3/5|||1976 Summer|Men's Foil, Individual|Czechoslovakia|19|||1980 Summer|Men's Foil, Individual|Czechoslovakia|29||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Konstantin Koutek||Male|||1909-10-25|||Czechoslovakia|Water Polo|1936 Summer|Men's Water Polo|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Bedřich Koutný||Male|||1931-03-06|||Czechoslovakia|Boxing|1952 Summer|Men's Middleweight|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Koutný||Male|||1897-06-24|1976-07-18||Czechoslovakia|Gymnastics|1924 Summer|Men's Individual All-Around|Czechoslovakia|11|||1924 Summer|Men's Team All-Around|Czechoslovakia|AC||DNF|1924 Summer|Men's Horse Vault|Czechoslovakia|2|Silver||1924 Summer|Men's Parallel Bars|Czechoslovakia|11|||1924 Summer|Men's Horizontal Bar|Czechoslovakia|35|||1924 Summer|Men's Rings|Czechoslovakia|7|||1924 Summer|Men's Pommelled Horse|Czechoslovakia|22|||1924 Summer|Men's Rope Climbing|Czechoslovakia|24T |||1924 Summer|Men's Side Horse|Czechoslovakia|12T |||1928 Summer|Men's Individual All-Around|Czechoslovakia|31|||1928 Summer|Men's Team All-Around|Czechoslovakia|2|Silver|non-scoring|1928 Summer|Men's Horse Vault|Czechoslovakia|26T |||1928 Summer|Men's Parallel Bars|Czechoslovakia|21T |||1928 Summer|Men's Horizontal Bar|Czechoslovakia|31|||1928 Summer|Men's Rings|Czechoslovakia|17T |||1928 Summer|Men's Pommelled Horse|Czechoslovakia|56||||||||||||||||||||||||||||||||||||||||||||||||
Lenka Kováčová||Female|"5'3"" (160 cm)"|99 lbs (45 kg)|1966-05-22||VŠ Praha/Slávia Praha/Tatra Praha|Czechoslovakia|Rowing|1992 Summer|Women's Coxed Eights|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Štefan Kovalčík||Male|||1921-05-23|1973-10-22||Czechoslovakia|Cross Country Skiing|1948 Winter|Men's 18 kilometres|Czechoslovakia|63|||1948 Winter|Men's 4 × 10 kilometres Relay|Czechoslovakia|8|||1952 Winter|Men's 18 kilometres|Czechoslovakia|AC||DNF|1952 Winter|Men's 4 × 10 kilometres Relay|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Kovář||Male||||||Czechoslovakia|Swimming|1948 Summer|Men's 100 metres Backstroke|Czechoslovakia|3 h2 r1/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Karel Kovář||Male|"5'4"" (162 cm)"|110 lbs (50 kg)|1942-12-10|||Czechoslovakia|Rowing|1968 Summer|Men's Coxed Pairs|Czechoslovakia|6 h2 r2/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Kovařík||Male|||1966-04-27|||Czechoslovakia|Nordic Combined|1992 Winter|Men's Team|Czechoslovakia|6|||1992 Winter|Men's Individual|Czechoslovakia|17||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Kovářík||Male|"5'8"" (172 cm)"|159 lbs (72 kg)|1945-05-21|||Czechoslovakia|Shooting|1972 Summer|Mixed Small-Bore Rifle, Three Positions, 50 metres|Czechoslovakia|4|||1976 Summer|Mixed Small-Bore Rifle, Three Positions, 50 metres|Czechoslovakia|20T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marie Kovářová (-Ďurovičová)||Female|||1927-05-11|||Czechoslovakia|Gymnastics|1948 Summer|Women's Team All-Around|Czechoslovakia|1|Gold|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Kozák||Male|||1929-07-05|||Czechoslovakia|Basketball|1948 Summer|Men's Basketball|Czechoslovakia|7|||1952 Summer|Men's Basketball|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Kozák||Male|"5'10"" (179 cm)"|172 lbs (78 kg)|1937-04-14|2004-03-15||Czechoslovakia|Rowing|1960 Summer|Men's Double Sculls|Czechoslovakia|1|Gold||1964 Summer|Men's Single Sculls|Czechoslovakia|12|||1968 Summer|Men's Single Sculls|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Koželuh|Jenda|Male|||1904-01-29|1979-06-04||Czechoslovakia|Tennis|1924 Summer|Men's Singles|Czechoslovakia|17T |||1924 Summer|Men's Doubles|Czechoslovakia-2|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Oľga Kozičová (-Gubzová)||Female|"5'7"" (171 cm)"|150 lbs (68 kg)|1951-06-25||Slávia Bratislava, Bratislava (SVK)|Czechoslovakia|Swimming|1968 Summer|Women's 100 metres Freestyle|Czechoslovakia|4 h3 r2/3|||1968 Summer|Women's 200 metres Freestyle|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Kozlík||Male|||1883|||Czechoslovakia|Shooting|1924 Summer|Men's Free Rifle, 400, 600 and 800 metres, Team|Czechoslovakia|14||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Albert Krajmer||Male|||1933-04-23|||Czechoslovakia|Rowing|1956 Summer|Men's Double Sculls|Czechoslovakia|3 h2 r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vladimír Krajňák||Male|||1927-09-24|||Czechoslovakia|Alpine Skiing|1956 Winter|Men's Downhill|Czechoslovakia|AC||DQ|1956 Winter|Men's Giant Slalom|Czechoslovakia|38|||1956 Winter|Men's Slalom|Czechoslovakia|AC||DQ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Král||Male|"5'9"" (176 cm)"|179 lbs (81 kg)|1948-03-06|||Czechoslovakia|Boxing|1972 Summer|Men's Light-Heavyweight|Czechoslovakia|17T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miroslav Kráľ||Male|"5'7"" (171 cm)"|165 lbs (75 kg)|1947-11-02||MŠK Žilina, Žilina (SVK)|Czechoslovakia|Football|1968 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jarmila Králíčková||Female|"5'4"" (163 cm)"|139 lbs (63 kg)|1944-05-11||Slavia Praha, Praha (CZE)|Czechoslovakia|Hockey|1980 Summer|Women's Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Králík||Male|"6'1"" (186 cm)"|201 lbs (91 kg)|1942-04-12|1974-09-07|Cement Hranice, Hranice (CZE)|Czechoslovakia|Handball|1972 Summer|Men's Handball|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Králík||Male|"5'9"" (175 cm)"|174 lbs (79 kg)|1952-04-11||Dukla Jihlava, Jihlava (CZE) / HC Zlín, Zlín (CZE)|Czechoslovakia|Ice Hockey|1980 Winter|Men's Ice Hockey|Czechoslovakia|5|||1984 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ľudmila Králiková (-Gajdošová)||Female|"6'2"" (187 cm)"|174 lbs (79 kg)|1953-12-31|||Czechoslovakia|Basketball|1976 Summer|Women's Basketball|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Kramerius||Male|"6'1"" (186 cm)"|216 lbs (98 kg)|1939-07-10||Sparta Praha, Praha (CZE)|Czechoslovakia|Football|1968 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jindra Kramperová|Jindříška|Female|||1940-09-28|||Czechoslovakia|Figure Skating|1956 Winter|Women's Singles|Czechoslovakia|20||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Krása||Male|||1932|||Czechoslovakia|Basketball|1948 Summer|Men's Basketball|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Olga Krasilová||Female|||1925-03-18||Spartak Sokolovo|Czechoslovakia|Cross Country Skiing|1956 Winter|Women's 10 kilometres|Czechoslovakia|25||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"Johan Josef ""Jan"" Krásl"||Male|||1899-08-10|1980-03-17||Czechoslovakia|Ice Hockey|1924 Winter|Men's Ice Hockey|Czechoslovakia|5T |||1928 Winter|Men's Ice Hockey|Czechoslovakia|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Břetislav Krátký||Male|||1911-09-12|1987-10-08|Slavia Praha, Praha (CZE)|Czechoslovakia|Athletics|1936 Summer|Men's 4 × 400 metres Relay|Czechoslovakia|5 h3 r1/2|||1936 Summer|Men's High Jump|Czechoslovakia|32T  QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Krátký||Male|"6'1"" (186 cm)"|190 lbs (86 kg)|1943-07-31|||Czechoslovakia|Rowing|1968 Summer|Men's Double Sculls|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Kratochvíl||Male|||1904-01-16|||Czechoslovakia|Wrestling|1924 Summer|Men's Lightweight, Greco-Roman|Czechoslovakia|5T |||1928 Summer|Men's Featherweight, Greco-Roman|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jarmila Kratochvílová||Female|"5'7"" (171 cm)"|150 lbs (68 kg)|1951-01-26||VŠ Praha, Praha (CZE)|Czechoslovakia|Athletics|1980 Summer|Women's 400 metres|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Kraus||Male||||||Czechoslovakia|Wrestling|1920 Summer|Men's Heavyweight, Greco-Roman|Czechoslovakia|AC r1/5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Přemysl Krbec||Male|"5'6"" (167 cm)"|154 lbs (70 kg)|1940-01-28|||Czechoslovakia|Gymnastics|1964 Summer|Men's Individual All-Around|Czechoslovakia|45T |||1964 Summer|Men's Team All-Around|Czechoslovakia|6|||1964 Summer|Men's Floor Exercise|Czechoslovakia|41T  QR|||1964 Summer|Men's Horse Vault|Czechoslovakia|9T  QR|||1964 Summer|Men's Parallel Bars|Czechoslovakia|41T  QR|||1964 Summer|Men's Horizontal Bar|Czechoslovakia|50T  QR|||1964 Summer|Men's Rings|Czechoslovakia|21T  QR|||1964 Summer|Men's Pommelled Horse|Czechoslovakia|98 QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Krecl||Male|||1889-07-22|||Czechoslovakia|Shooting|1936 Summer|Men's Free Pistol, 50 metres|Czechoslovakia|23||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Cyril Krejčí|Cydra|Male|"6'6"" (198 cm)"|201 lbs (91 kg)|1957-05-18||Zbrojovka Brno, Brno (CZE)|Czechoslovakia|Volleyball|1980 Summer|Men's Volleyball|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Richard Krejčí||Male|"6'1"" (186 cm)"|194 lbs (88 kg)|1970-07-22||VK Mělník/Dukla Praha/Bohemians Praha|Czechoslovakia|Rowing|1992 Summer|Men's Coxed Fours|Czechoslovakia|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Hana Krejčová||Female|"5'10"" (178 cm)"|159 lbs (72 kg)|1961-03-15|||Czechoslovakia|Rowing|1988 Summer|Women's Quadruple Sculls|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Milan Křen||Male|"5'10"" (179 cm)"|163 lbs (74 kg)|1965-05-29|||Czechoslovakia|Cycling|1988 Summer|Men's 100 kilometres Team Time Trial|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zoltán Krenický||Male|||1925-11-16|1976-06-22|Slovan Bratislava, Bratislava (SVK)|Czechoslovakia|Basketball|1948 Summer|Men's Basketball|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Křepela||Male|||1924-01-22|1974-04-01|Slovan Bratislava, Bratislava (SVK)|Czechoslovakia|Basketball|1948 Summer|Men's Basketball|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jindřich Krepindl||Male|"6'1"" (185 cm)"|192 lbs (87 kg)|1948-07-06||Škoda Plzeň, Plzeň (CZE)|Czechoslovakia|Handball|1972 Summer|Men's Handball|Czechoslovakia|2|Silver||1976 Summer|Men's Handball|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Křička||Male|||1882-08-27|1969-01-23||Czechoslovakia|Art Competitions|1936 Summer|Mixed Music, Compositions For Orchestra|Czechoslovakia|3|Bronze||1936 Summer|Mixed Music, Vocals|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslava Křítková-Komárková||Female|"5'8"" (172 cm)"|172 lbs (78 kg)|1927-04-23||TJ Motor České Budějovice, České Budějovice (CZE)|Czechoslovakia|Athletics|1948 Summer|Women's Shot Put|Czechoslovakia|5|||1952 Summer|Women's Shot Put|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Tomáš Křivánek||Male|"5'10"" (178 cm)"|179 lbs (81 kg)|1966-01-10|||Czechoslovakia|Canoeing|1988 Summer|Men's Canadian Doubles, 1,000 metres|Czechoslovakia|4 h3r3/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Kříž||Male|"5'10"" (179 cm)"|141 lbs (64 kg)|1953-08-24|||Czechoslovakia|Biathlon|1976 Winter|Men's 20 kilometres|Czechoslovakia|17|||1976 Winter|Men's 4 × 7.5 kilometres Relay|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Kříž||Male|"5'11"" (181 cm)"|165 lbs (75 kg)|1943-10-29|||Czechoslovakia|Cycling|1964 Summer|Men's Team Pursuit, 4,000 metres|Czechoslovakia|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Kříž||Male|||1884-05-18|1966-07-30||Czechoslovakia|Fencing|1912 Summer|Men's Foil, Individual|Bohemia|6 p15 r1/4|||1912 Summer|Men's Épée, Individual|Bohemia|6 p3 r3/4|||1912 Summer|Men's Épée, Team|Bohemia|7T |||1928 Summer|Men's Épée, Individual|Czechoslovakia|7T  p2 r1/4|||1928 Summer|Men's Épée, Team|Czechoslovakia|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Kříž||Male|"5'8"" (173 cm)"|150 lbs (68 kg)|1955-03-12||Dukla Banská Bystrica, Banská Bystrica (SVK)|Czechoslovakia|Judo|1980 Summer|Men's Half-Lightweight|Czechoslovakia|7T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Kříž||Male||||||Czechoslovakia|Art Competitions|1936 Summer|Mixed Architecture, Unknown Event|Czechoslovakia|AC|||1936 Summer|Mixed Architecture, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Kříž||Male|"6'0"" (183 cm)"|163 lbs (74 kg)|1944-01-28||TJ Vítkovice, Ostrava (CZE)|Czechoslovakia|Athletics|1972 Summer|Men's 200 metres|Czechoslovakia|7 h3 r2/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eva Křížová||Female|"6'3"" (190 cm)"|203 lbs (92 kg)|1966-10-20|||Czechoslovakia|Basketball|1988 Summer|Women's Basketball|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiřina Křížová||Female|"5'2"" (157 cm)"|132 lbs (60 kg)|1948-02-21||Slavia Praha, Praha (CZE)|Czechoslovakia|Hockey|1980 Summer|Women's Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ivona Krmelová (-Lakomy)||Female|"5'1"" (156 cm)"|93 lbs (42 kg)|1969-10-29|||Czechoslovakia|Gymnastics|1988 Summer|Women's Individual All-Around|Czechoslovakia|49 QR|||1988 Summer|Women's Team All-Around|Czechoslovakia|7|||1988 Summer|Women's Floor Exercise|Czechoslovakia|34T  QR|||1988 Summer|Women's Horse Vault|Czechoslovakia|49T  QR|||1988 Summer|Women's Uneven Bars|Czechoslovakia|19T  QR|||1988 Summer|Women's Balance Beam|Czechoslovakia|75 QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Mikuláš Krnáč||Male|"6'0"" (182 cm)"|179 lbs (81 kg)|1947-02-15||Inter Bratislava, Bratislava (SVK)|Czechoslovakia|Football|1968 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alois Krof||Male|||1903-07-08||Sparta Praha, Praha (CZE)|Czechoslovakia|Athletics|1928 Summer|Men's Marathon|Czechoslovakia|16||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Krol||Male|"5'10"" (178 cm)"|220 lbs (100 kg)|1965-07-14||ŽD Bohumín/Dukla Trenčín/Baník Havířov|Czechoslovakia|Weightlifting|1992 Summer|Men's Heavyweight I|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Otto Krombholz||Male|||1899-02-03||DFC Prag, Praha (CZE)|Czechoslovakia|Football|1924 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aloisie Krongeigerová||Female|||1900|||Czechoslovakia|Diving|1924 Summer|Women's Springboard|Czechoslovakia|9 p2 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"Stanislav ""Stano"" Kropilák"|Kily|Male|"6'10"" (208 cm)"|201 lbs (91 kg)|1955-06-10||Inter Bratislava, Bratislava (SVK)|Czechoslovakia|Basketball|1976 Summer|Men's Basketball|Czechoslovakia|6|||1980 Summer|Men's Basketball|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"Otakar ""Ota"" Kroutil"||Male|||1921-12-31|||Czechoslovakia|Canoeing|1948 Summer|Men's Kayak Doubles, 1,000 metres|Czechoslovakia|5|||1952 Summer|Men's Kayak Doubles, 1,000 metres|Czechoslovakia|5 h1r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marta Kroutilová (-Pavlisová)||Female|||1925-09-21|||Czechoslovakia|Canoeing|1952 Summer|Women's Kayak Singles, 500 metres|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Oldřich Kruták||Male|"5'11"" (180 cm)"|172 lbs (78 kg)|1947-05-30|||Czechoslovakia|Rowing|1972 Summer|Men's Coxed Eights|Czechoslovakia|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Kruz||Male|||1889|||Czechoslovakia|Shooting|1924 Summer|Men's Rapid-Fire Pistol, 25 metres|Czechoslovakia|55||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Krysta||Male|"5'2"" (158 cm)"|126 lbs (57 kg)|1956-10-24|||Czechoslovakia|Wrestling|1976 Summer|Men's Bantamweight, Greco-Roman|Czechoslovakia|8|||1980 Summer|Men's Bantamweight, Greco-Roman|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zdeněk Kuba||Male|"6'1"" (186 cm)"|194 lbs (88 kg)|1948-03-04|||Czechoslovakia|Rowing|1968 Summer|Men's Coxed Eights|Czechoslovakia|5|||1972 Summer|Men's Coxed Eights|Czechoslovakia|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Bohumil Kubát||Male|"6'1"" (186 cm)"|276 lbs (125 kg)|1935-02-14|||Czechoslovakia|Wrestling|1960 Summer|Men's Heavyweight, Greco-Roman|Czechoslovakia|3|Bronze||1964 Summer|Men's Heavyweight, Freestyle|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Kubíček||Male|"5'10"" (178 cm)"|163 lbs (74 kg)|1957-04-30|||Czechoslovakia|Canoeing|1980 Summer|Men's Canadian Doubles, 500 metres|Czechoslovakia|5|||1980 Summer|Men's Canadian Doubles, 1,000 metres|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Tomáš Kubíček||Male|"6'0"" (184 cm)"|152 lbs (69 kg)|1962-07-29||Lokomotiva Karlovy Vary/Dukla Olomouc|Czechoslovakia|Fencing|1992 Summer|Men's Épée, Team|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
