jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Jan Gruber||Male|"6'2"" (187 cm)"|207 lbs (94 kg)|1984-03-15||Dukla Praha, Praha (CZE)|Czech Republic|Rowing|2008 Summer|Men's Coxless Fours|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miroslav Guzdek||Male|"6'3"" (191 cm)"|205 lbs (93 kg)|1975-08-03||Dukla Praha, Praha (CZE)|Czech Republic|Athletics|2004 Summer|Men's Javelin Throw|Czech Republic|23 QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dana Hadačová||Female|"5'9"" (174 cm)"|154 lbs (70 kg)|1983-09-03||Hassia Bingen|Czech Republic|Table Tennis|2008 Summer|Women's Singles|Czech Republic|33T |||2012 Summer|Women's Singles|Czech Republic|49T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lenka Háječková||Female|"5'7"" (171 cm)"|143 lbs (65 kg)|1978-04-18|||Czech Republic|Beach Volleyball|2012 Summer|Women's Beach Volleyball|Czech Republic-2|17T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonín Hájek||Male|"5'8"" (173 cm)"|128 lbs (58 kg)|1987-02-12||Dukla Liberec, Liberec (CZE)|Czech Republic|Ski Jumping|2010 Winter|Men's Normal Hill, Individual|Czech Republic|21|||2010 Winter|Men's Large Hill, Individual|Czech Republic|7|||2010 Winter|Men's Large Hill, Team|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kamila Hájková||Female|"5'7"" (170 cm)"|123 lbs (56 kg)|1987-09-25||TJ Stadion Brno|Czech Republic|Figure Skating|2010 Winter|Mixed Ice Dancing|Czech Republic|21||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eva Háková (Burešová-)||Female|"5'9"" (175 cm)"|128 lbs (58 kg)|1969-07-08||OTPS MV ČR|Czech Republic|Biathlon|1994 Winter|Women's 7.5 kilometres Sprint|Czech Republic|9|||1994 Winter|Women's 15 kilometres|Czech Republic|35|||1994 Winter|Women's 4 × 7.5 kilometres Relay|Czech Republic|7|||1998 Winter|Women's 7.5 kilometres Sprint|Czech Republic|26|||1998 Winter|Women's 15 kilometres|Czech Republic|53|||1998 Winter|Women's 4 × 7.5 kilometres Relay|Czech Republic|6|||2002 Winter|Women's 7.5 kilometres Sprint|Czech Republic|34|||2002 Winter|Women's 10 kilometres Pursuit|Czech Republic|25|||2002 Winter|Women's 15 kilometres|Czech Republic|35|||2002 Winter|Women's 4 × 7.5 kilometres Relay|Czech Republic|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Pavla Hamáčková (-Rybová)||Female|"5'7"" (170 cm)"|132 lbs (60 kg)|1978-05-20||Dukla Praha, Praha (CZE)|Czech Republic|Athletics|2000 Summer|Women's Pole Vault|Czech Republic|22T  QR|||2004 Summer|Women's Pole Vault|Czech Republic|11||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Václav Haman||Male|"5'11"" (180 cm)"|187 lbs (85 kg)|1986-07-18||ŠKP Rapid Plzeň, Plzeň (CZE)|Czech Republic|Shooting|2008 Summer|Men's Air Rifle, 10 metres|Czech Republic|13|||2008 Summer|Men's Small-Bore Rifle, Three Positions, 50 metres|Czech Republic|23|||2012 Summer|Men's Air Rifle, 10 metres|Czech Republic|33|||2012 Summer|Men's Small-Bore Rifle, Three Positions, 50 metres|Czech Republic|34|||2012 Summer|Men's Small-Bore Rifle, Prone, 50 metres|Czech Republic|41||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Roman Hamrlík||Male|"6'1"" (186 cm)"|209 lbs (95 kg)|1974-04-12||New York Islanders, New York (USA)|Czech Republic|Ice Hockey|1998 Winter|Men's Ice Hockey|Czech Republic|1|Gold||2002 Winter|Men's Ice Hockey|Czech Republic|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Romana Hamzová||Female|"5'9"" (176 cm)"|157 lbs (71 kg)|1970-08-17||Gambrinus JME Brno|Czech Republic|Basketball|2004 Summer|Women's Basketball|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jakub Hanák||Male|"6'4"" (193 cm)"|212 lbs (96 kg)|1983-03-26||VUK Slavia Praha/ASC Dukla Praha|Czech Republic|Rowing|2004 Summer|Men's Quadruple Sculls|Czech Republic|2|Silver||2008 Summer|Men's Quadruple Sculls|Czech Republic|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alena Hanušová||Female|"6'3"" (190 cm)"|183 lbs (83 kg)|1991-05-29||BK Brno, Brno (CZE)|Czech Republic|Basketball|2012 Summer|Women's Basketball|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kateřina Hanušová-Nash||Female|"5'5"" (164 cm)"|112 lbs (51 kg)|1977-12-09|||Czech Republic|Cross Country Skiing|1996 Summer|Women's Mountainbike, Cross-Country|Czech Republic|19|||1998 Winter|Women's 5 kilometres|Czech Republic|22|||1998 Winter|Women's 30 kilometres|Czech Republic|23|||1998 Winter|Women's 5/10 kilometres Pursuit|Czech Republic|24|||1998 Winter|Women's 4 × 5 kilometres Relay|Czech Republic|6|||2002 Winter|Women's 15 kilometres|Czech Republic|20|||2002 Winter|Women's 30 kilometres|Czech Republic|40|||2002 Winter|Women's 5/5 kilometres Pursuit|Czech Republic|62 r1/2|||2002 Winter|Women's 4 × 5 kilometres Relay|Czech Republic|4|||2012 Summer|Women's Mountainbike, Cross-Country|Czech Republic|14||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michala Hartigová||Female|"6'4"" (192 cm)"|168 lbs (76 kg)|1983-11-14||BK Loko Trutnov/ZVVZ USK Praha|Czech Republic|Basketball|2004 Summer|Women's Basketball|Czech Republic|5|||2008 Summer|Women's Basketball|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Dominik Hašek|Dominator|Male|"6'0"" (183 cm)"|170 lbs (77 kg)|1965-01-29||HC Pardubice, Pardubice (CZE) / Buffalo Sabres, Buffalo (USA) / Detroit Red Wings, Detroit (USA) / Ottawa Senators, Ottawa (CAN)|Czech Republic|Ice Hockey|1988 Winter|Men's Ice Hockey|Czechoslovakia|6|||1998 Winter|Men's Ice Hockey|Czech Republic|1|Gold||2002 Winter|Men's Ice Hockey|Czech Republic|5T |||2006 Winter|Men's Ice Hockey|Czech Republic|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Hatla||Male|"5'10"" (178 cm)"|143 lbs (65 kg)|1973-05-05||Horse Academy, Radimovice|Czech Republic|Equestrianism|2004 Summer|Mixed Three-Day Event, Individual|Czech Republic|22|||2008 Summer|Mixed Three-Day Event, Individual|Czech Republic|AC||DNF||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Daniel Havel||Male|"5'10"" (179 cm)"|165 lbs (75 kg)|1991-08-10||Dukla Praha, Praha (CZE)|Czech Republic|Canoeing|2012 Summer|Men's Kayak Fours, 1,000 metres|Czech Republic|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Martin Havlát||Male|"6'2"" (187 cm)"|209 lbs (95 kg)|1981-04-19||Ottawa Senators, Ottawa (CAN) / Minnesota Wild, Saint Paul (USA)|Czech Republic|Ice Hockey|2002 Winter|Men's Ice Hockey|Czech Republic|5T |||2010 Winter|Men's Ice Hockey|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marek Heinz||Male|"6'2"" (188 cm)"|165 lbs (75 kg)|1977-08-04||SK Sigma Olomouc, Olomouc (CZE)|Czech Republic|Football|2000 Summer|Men's Football|Czech Republic|14||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Hejda||Male|"6'2"" (189 cm)"|220 lbs (100 kg)|1978-06-18||Columbus Blue Jackets, Columbus (USA)|Czech Republic|Ice Hockey|2010 Winter|Men's Ice Hockey|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Romana Hejdová||Female|"6'0"" (184 cm)"|165 lbs (75 kg)|1988-05-09||Valosun KP Brno|Czech Republic|Basketball|2008 Summer|Women's Basketball|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Milan Hejduk||Male|"6'0"" (183 cm)"|192 lbs (87 kg)|1976-02-14||Colorado Avalanche, Denver (USA)|Czech Republic|Ice Hockey|1998 Winter|Men's Ice Hockey|Czech Republic|1|Gold||2002 Winter|Men's Ice Hockey|Czech Republic|5T |||2006 Winter|Men's Ice Hockey|Czech Republic|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michaela Hejnová||Female|"5'6"" (168 cm)"|134 lbs (61 kg)|1980-04-10||PSK Olymp Praha, Praha (CZE)|Czech Republic|Athletics|2004 Summer|Women's Heptathlon|Czech Republic|26||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zuzana Hejnová||Female|"5'8"" (172 cm)"|134 lbs (61 kg)|1986-12-19||USK Praha, Praha (CZE)|Czech Republic|Athletics|2008 Summer|Women's 400 metres Hurdles|Czech Republic|7|||2012 Summer|Women's 400 metres Hurdles|Czech Republic|3|Bronze||2012 Summer|Women's 4 × 400 metres Relay|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kateřina Heková||Female|"5'9"" (176 cm)"|150 lbs (68 kg)|1976-05-18|||Czech Republic|Canoeing|1996 Summer|Women's Kayak Fours, 500 metres|Czech Republic|5 h1r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aleš Hemský||Male|"6'0"" (183 cm)"|192 lbs (87 kg)|1983-08-13||Edmonton Oilers, Edmonton (CAN)|Czech Republic|Ice Hockey|2006 Winter|Men's Ice Hockey|Czech Republic|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lukáš Heřmanský||Male|"5'11"" (180 cm)"|154 lbs (70 kg)|1980-08-24|||Czech Republic|Nordic Combined|2002 Winter|Men's Team|Czech Republic|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Luboš Hilgert||Male|"6'1"" (186 cm)"|163 lbs (74 kg)|1960-10-25||USK Praha, Praha (CZE)|Czech Republic|Canoeing|1992 Summer|Men's Kayak Singles, Slalom|Czechoslovakia|23|||1996 Summer|Men's Kayak Singles, Slalom|Czech Republic|18||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Štěpánka Hilgertová||Female|"5'5"" (164 cm)"|123 lbs (56 kg)|1968-04-10||ASO Dukla Brandýs nad Lebem, Praha|Czech Republic|Canoeing|1992 Summer|Women's Kayak Singles, Slalom|Czechoslovakia|12|||1996 Summer|Women's Kayak Singles, Slalom|Czech Republic|1|Gold||2000 Summer|Women's Kayak Singles, Slalom|Czech Republic|1|Gold||2004 Summer|Women's Kayak Singles, Slalom|Czech Republic|5|||2008 Summer|Women's Kayak Singles, Slalom|Czech Republic|9|||2012 Summer|Women's Kayak Singles, Slalom|Czech Republic|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aneta Hladíková||Female|"5'7"" (171 cm)"|137 lbs (62 kg)|1984-08-30|||Czech Republic|Cycling|2012 Summer|Women's BMX|Czech Republic|10||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lukáš Hlava||Male|"5'11"" (181 cm)"|137 lbs (62 kg)|1984-09-10||Dukla Liberec, Liberec (CZE)|Czech Republic|Ski Jumping|2010 Winter|Men's Normal Hill, Individual|Czech Republic|38T |||2010 Winter|Men's Large Hill, Team|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Leoš Hlaváček||Male|"5'9"" (176 cm)"|168 lbs (76 kg)|1963-10-30||SKT Kometa Brno|Czech Republic|Shooting|1988 Summer|Mixed Skeet|Czechoslovakia|13T |||1992 Summer|Mixed Skeet|Czechoslovakia|16T |||1996 Summer|Men's Skeet|Czech Republic|32T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrea Hlaváčková||Female|"5'9"" (175 cm)"|132 lbs (60 kg)|1986-08-10|||Czech Republic|Tennis|2012 Summer|Women's Doubles|Czech Republic-1|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ilona Hlaváčková||Female|"5'11"" (180 cm)"|165 lbs (75 kg)|1977-03-15||Bohemians Praha, Praha (CZE)|Czech Republic|Swimming|2000 Summer|Women's 100 metres Freestyle|Czech Republic|26|||2000 Summer|Women's 100 metres Backstroke|Czech Republic|22|||2004 Summer|Women's 4 × 100 metres Freestyle Relay|Czech Republic|13|||2004 Summer|Women's 100 metres Backstroke|Czech Republic|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Kateřina Hluchá||Female|"5'11"" (180 cm)"|154 lbs (70 kg)|1975-03-11|||Czech Republic|Canoeing|1996 Summer|Women's Kayak Fours, 500 metres|Czech Republic|5 h1r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Milan Hnilička||Male|"6'1"" (185 cm)"|185 lbs (84 kg)|1973-06-25||Sparta Praha, Praha (CZE) / Atlanta Thrashers, Atlanta (USA) / Bílí Tygři Liberec, Liberec (CZE)|Czech Republic|Ice Hockey|2006 Winter|Men's Ice Hockey|Czech Republic|3|Bronze|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Holický||Male|"6'0"" (183 cm)"|192 lbs (87 kg)|1974-01-15|||Czech Republic|Alpine Skiing|2002 Winter|Men's Downhill|Czech Republic|46|||2002 Winter|Men's Slalom|Czech Republic|AC||DNF|2002 Winter|Men's Combined|Czech Republic|20||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Pavel Holubář||Male|"5'11"" (181 cm)"|187 lbs (85 kg)|1970-06-07|||Czech Republic|Canoeing|2000 Summer|Men's Kayak Doubles, 500 metres|Czech Republic|6 h2r2/3|||2000 Summer|Men's Kayak Fours, 1,000 metres|Czech Republic|4 h1r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Holubec||Male|"5'10"" (178 cm)"|150 lbs (68 kg)|1966-03-03||OZSP Jablonec nad Nisou|Czech Republic|Biathlon|1988 Winter|Men's 10 kilometres Sprint|Czechoslovakia|28|||1988 Winter|Men's 20 kilometres|Czechoslovakia|32|||1988 Winter|Men's 4 × 7.5 kilometres Relay|Czechoslovakia|11|||1992 Winter|Men's 10 kilometres Sprint|Czechoslovakia|23|||1992 Winter|Men's 20 kilometres|Czechoslovakia|15|||1992 Winter|Men's 4 × 7.5 kilometres Relay|Czechoslovakia|7|||1994 Winter|Men's 10 kilometres Sprint|Czech Republic|29|||1994 Winter|Men's 20 kilometres|Czech Republic|17|||1994 Winter|Men's 4 × 7.5 kilometres Relay|Czech Republic|12|||1998 Winter|Men's 20 kilometres|Czech Republic|34|||1998 Winter|Men's 4 × 7.5 kilometres Relay|Czech Republic|14||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Tomáš Holubec||Male|"5'11"" (181 cm)"|161 lbs (73 kg)|1976-01-11||SKP Jablonex, Jablonec nad Nisou (CZE)|Czech Republic|Biathlon|2002 Winter|Men's 10 kilometres Sprint|Czech Republic|32|||2002 Winter|Men's 12.5 kilometres Pursuit|Czech Republic|45|||2006 Winter|Men's 20 kilometres|Czech Republic|33||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jakub Holuša||Male|"6'0"" (183 cm)"|159 lbs (72 kg)|1988-02-20||TJ Sokol Opava, Opava (CZE)|Czech Republic|Athletics|2008 Summer|Men's 800 metres|Czech Republic|3 h6 r1/3|||2012 Summer|Men's 800 metres|Czech Republic|4 h7 r1/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloš Holuša||Male|"5'9"" (174 cm)"|132 lbs (60 kg)|1965-05-02||USK Praha, Praha (CZE)|Czech Republic|Athletics|1996 Summer|Men's 50 kilometres Walk|Czech Republic|27|||2000 Summer|Men's 50 kilometres Walk|Czech Republic|16|||2004 Summer|Men's 50 kilometres Walk|Czech Republic|38||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Horáček||Male|"6'5"" (195 cm)"|227 lbs (103 kg)|1974-01-11|||Czech Republic|Boxing|1996 Summer|Men's Super-Heavyweight|Czech Republic|17T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Barbora Horáčková||Female|"5'11"" (180 cm)"|185 lbs (84 kg)|1969-01-15||LK Arcus Plzeň|Czech Republic|Archery|2008 Summer|Women's Individual|Czech Republic|34T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Roman Horák||Male|"6'0"" (182 cm)"|187 lbs (85 kg)|1969-09-24||HC České Budějovice, České Budějovice (CZE)|Czech Republic|Ice Hockey|1994 Winter|Men's Ice Hockey|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jana Horáková||Female|"5'8"" (172 cm)"|143 lbs (65 kg)|1983-09-04||Suzuki-RB Team|Czech Republic|Cycling|2008 Summer|Women's BMX|Czech Republic|5 h1 r1/2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Hana Horáková-Machová||Female|"5'10"" (179 cm)"|157 lbs (71 kg)|1979-09-11||BK Brno, Brno (CZE) / Good Angels Košice, Košice (SVK)|Czech Republic|Basketball|2004 Summer|Women's Basketball|Czech Republic|5|||2008 Summer|Women's Basketball|Czech Republic|7|||2012 Summer|Women's Basketball|Czech Republic|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloslav Hořava||Male|"6'0"" (184 cm)"|187 lbs (85 kg)|1961-08-14||Dukla Jihlava, Jihlava (CZE) / HC Kladno, Kladno (CZE) / MODO Hockey, Örnsköldsvik (SWE)|Czech Republic|Ice Hockey|1984 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver||1988 Winter|Men's Ice Hockey|Czechoslovakia|6|||1992 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze||1994 Winter|Men's Ice Hockey|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Horký||Male|"6'2"" (187 cm)"|176 lbs (80 kg)|1972-02-03||Kometa Brno|Czech Republic|Swimming|1996 Summer|Men's 200 metres Butterfly|Czech Republic|30|||1996 Summer|Men's 200 metres Individual Medley|Czech Republic|18|||1996 Summer|Men's 400 metres Individual Medley|Czech Republic|14|||2004 Summer|Men's 4 × 200 metres Freestyle Relay|Czech Republic|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michal Horváth||Male|"6'6"" (197 cm)"|220 lbs (100 kg)|1987-06-30||Dukla Praha, Praha (CZE)|Czech Republic|Rowing|2008 Summer|Men's Coxless Fours|Czech Republic|5|||2012 Summer|Men's Coxless Fours|Czech Republic|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Martin Hosták||Male|"6'3"" (190 cm)"|209 lbs (95 kg)|1967-11-11||MODO Hockey, Örnsköldsvik (SWE)|Czech Republic|Ice Hockey|1994 Winter|Men's Ice Hockey|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Pavel Hottmar||Male|"6'1"" (185 cm)"|185 lbs (84 kg)|1979-06-28|||Czech Republic|Canoeing|2000 Summer|Men's Kayak Singles, 500 metres|Czech Republic|5 h1r2/3|||2000 Summer|Men's Kayak Fours, 1,000 metres|Czech Republic|4 h1r2/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lucie Hradecká||Female|"5'10"" (177 cm)"|159 lbs (72 kg)|1985-05-21||I. ČLTK Praha, Praha (CZE)|Czech Republic|Tennis|2012 Summer|Mixed Doubles|Czech Republic|9T |||2012 Summer|Women's Doubles|Czech Republic-1|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vavřinec Hradílek||Male|"5'6"" (168 cm)"|172 lbs (78 kg)|1987-03-10||USK Praha, Praha (CZE)|Czech Republic|Canoeing|2008 Summer|Men's Kayak Singles, Slalom|Czech Republic|11 r2/3|||2012 Summer|Men's Kayak Singles, Slalom|Czech Republic|2|Silver||2012 Summer|Men's Canadian Doubles, Slalom|Czech Republic-2|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Michal Hrazdíra||Male|"6'2"" (189 cm)"|170 lbs (77 kg)|1977-11-06||Dukla Brno|Czech Republic|Cycling|2004 Summer|Men's Road Race, Individual|Czech Republic|AC||DNF|2004 Summer|Men's Individual Time Trial|Czech Republic|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Hrbek||Male|"6'0"" (182 cm)"|190 lbs (86 kg)|1969-04-03||Starbulls Rosenheim, Rosenheim (GER)|Czech Republic|Ice Hockey|1992 Winter|Men's Ice Hockey|Czechoslovakia|3|Bronze||1994 Winter|Men's Ice Hockey|Czech Republic|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Hrdina||Male|"6'0"" (183 cm)"|198 lbs (90 kg)|1976-02-05||Pittsburgh Penguins, Pittsburgh (USA)|Czech Republic|Ice Hockey|2002 Winter|Men's Ice Hockey|Czech Republic|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Patrik Hrdina||Male|"5'8"" (173 cm)"|148 lbs (67 kg)|1967-05-15||Tatra Smíchov, Ekonom Praha|Czech Republic|Sailing|1992 Summer|Men's Windsurfer|Czechoslovakia|25|||1996 Summer|Men's Windsurfer|Czech Republic|30||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Květoslava Hrdličková (-Peschke)|Kveta|Female|"5'5"" (165 cm)"|132 lbs (60 kg)|1975-07-09|||Czech Republic|Tennis|2000 Summer|Women's Singles|Czech Republic|33T |||2000 Summer|Women's Doubles|Czech Republic|17T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
